,content_descriptors,game_name,platforms,rating
9,"Mild Lyrics, Mild Suggestive Themes",Just Dance 2016,"PlayStation 3, Wii U, Xbox 360",E10plus
0,No Descriptors,Gran Turismo 2,PlayStation/PS one,E
0,"Blood, Violence",Call of Duty 4: Modern Warfare ,Nintendo DS,T
1,"Blood and Gore, Intense Violence, Strong Language",Call of Duty 4: Modern Warfare,"Windows PC, PlayStation 3, Xbox 360, Xbox One",M
0,Mild Cartoon Violence,Donkey Kong Country Tropical Freeze,Nintendo Switch,E
1,No Descriptors,Donkey Kong Country 3: Dixie Kong's Double Trouble,Wii U,E
2,Mild Cartoon Violence,Donkey Kong Country Tropical Freeze,Wii U,E
3,Mild Cartoon Violence,Donkey Kong Country Returns 3D,Nintendo 3DS,E
4,Mild Cartoon Violence,Donkey Kong Country Returns,"Wii, Wii U",E
5,No Descriptors,Donkey Kong Country 3,Wii,E
6,No Descriptors,Donkey Kong Country 2,Wii,E
7,No Descriptors,Donkey Kong Country,"Game Boy Advance, Wii",E
8,Mild Cartoon Violence,Donkey Kong Country 3,Game Boy Advance,E
9,No Descriptors,Donkey Kong Country 2: Diddy's Kong Quest,Game Boy Advance,E
0,Fantasy Violence,Minecraft Dungeons,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One, Xbox Series",E10plus
1,Fantasy Violence,Minecraft,PlayStation 4,E10plus
2,Fantasy Violence,Minecraft: Story Mode - Season Two,Nintendo Switch,E10plus
3,Fantasy Violence,Minecraft: Story Mode - Season Two - Episode 5: Above and Beyond,PlayStation 4,E10plus
4,Fantasy Violence,Minecraft,Nintendo Switch,E10plus
5,Fantasy Violence,Minecraft: Story Mode - Season Two - Episode 4: Below the Bedrock,"PlayStation 4, Xbox One",E10plus
6,Fantasy Violence,Minecraft: Story Mode - Season Two - Episode 3: Jailhouse Block,"PlayStation 4, Xbox One",E10plus
7,Fantasy Violence,Minecraft: New Nintendo 3DS Edition,Nintendo 3DS,E10plus
8,Fantasy Violence,Minecraft: Story Mode - Season Two - Season Pass,"Nintendo Switch, Xbox 360",E10plus
9,Fantasy Violence,Minecraft: Story Mode - Season Two - Season Pass,"PlayStation 4, Xbox One",E10plus
0,Comic Mischief,Animal Crossing: New Leaf,Nintendo 3DS,E
0,Comic Mischief,Mario Party DS,"Nintendo DS, Wii U",E
0,"Blood and Gore, Intense Violence, Sexual Themes, Use of Alcohol",The Elder Scrolls V: Skyrim,Nintendo Switch,M
1,"Blood and Gore, Intense Violence, Sexual Themes, Use of Alcohol",The Elder Scrolls V: Skyrim VR,"Windows PC, PlayStation 4",M
2,"Blood and Gore, Intense Violence, Sexual Themes, Use of Alcohol",The Elder Scrolls V: Skyrim Special Edition,"Windows PC, PlayStation 4, Xbox One",M
3,"Blood and Gore, Intense Violence, Sexual Themes, Use of Alcohol",The Elder Scrolls V: Skyrim Legendary Edition,"Windows PC, PlayStation 3, Xbox 360",M
4,"Blood and Gore, Intense Violence, Sexual Themes, Use of Alcohol",The Elder Scrolls V: Skyrim,"Windows PC, PlayStation 3, Xbox 360",M
0,No Descriptors,Super Mario Kart,"Wii, Wii U",E
1,No Descriptors,Super Mario Kart,"Nintendo 3DS, Super Nintendo",E
0,No Descriptors,FIFA 16,"Windows PC, PlayStation 4, Xbox One",E
